author;term;termCount;totalTerms;articleCount;totalArticles;termPercent;inverseDocumentFrequency;criterion
BradDorfman;offset;5;19525;3;50;0.026;3.634;0.093
BradDorfman;mix;4;19525;2;50;0.02;4.492;0.092
BradDorfman;heavy;6;19525;6;50;0.031;2.477;0.076
BradDorfman;lower;16;19525;14;50;0.082;1.803;0.148
BradDorfman;smaller;4;19525;4;50;0.02;2.736;0.056
BradDorfman;machines;4;19525;3;50;0.02;3.115;0.064
BradDorfman;added;16;19525;13;50;0.082;1.269;0.104
BradDorfman;month;23;19525;13;50;0.118;1.378;0.162
BradDorfman;thing;5;19525;5;50;0.026;2.964;0.076
BradDorfman;gross;6;19525;5;50;0.031;3.302;0.101
BradDorfman;remain;5;19525;5;50;0.026;2.356;0.06
BradDorfman;lisa;3;19525;3;50;0.015;6.438;0.099
BradDorfman;shalett;6;19525;3;50;0.031;6.725;0.207
BradDorfman;sanford;4;19525;4;50;0.02;6.032;0.124
BradDorfman;bernstein;4;19525;4;50;0.02;5.878;0.12
BradDorfman;amp;60;19525;25;50;0.307;1.636;0.503
BradDorfman;talked;5;19525;4;50;0.026;4.358;0.112
BradDorfman;machine;4;19525;3;50;0.02;4.492;0.092
BradDorfman;dealer;4;19525;3;50;0.02;4.04;0.083
BradDorfman;rental;4;19525;3;50;0.02;4.733;0.097
BradDorfman;fell;16;19525;13;50;0.082;2.175;0.178
BradDorfman;inventories;9;19525;7;50;0.046;4.605;0.212
BradDorfman;remained;4;19525;4;50;0.02;2.787;0.057
BradDorfman;high;12;19525;10;50;0.061;1.295;0.08
BradDorfman;company;163;19525;41;50;0.835;0.655;0.547
BradDorfman;europe;8;19525;5;50;0.041;2.114;0.087
BradDorfman;sector;3;19525;3;50;0.015;1.871;0.029
BradDorfman;weak;8;19525;6;50;0.041;2.82;0.116
BradDorfman;japan;4;19525;2;50;0.02;2.556;0.052
BradDorfman;america;10;19525;4;50;0.051;2.323;0.119
BradDorfman;canada;5;19525;2;50;0.026;2.472;0.063
BradDorfman;union;7;19525;5;50;0.036;2.496;0.089
BradDorfman;current;6;19525;6;50;0.031;1.737;0.053
BradDorfman;preliminary;3;19525;3;50;0.015;4.063;0.062
BradDorfman;outlook;7;19525;4;50;0.036;3.088;0.111
BradDorfman;levels;8;19525;7;50;0.041;2.339;0.096
BradDorfman;chairman;23;19525;19;50;0.118;1.323;0.156
BradDorfman;donald;3;19525;3;50;0.015;4.528;0.07
BradDorfman;fites;3;19525;2;50;0.015;7.131;0.11
BradDorfman;statement;20;19525;15;50;0.102;1.823;0.187
BradDorfman;opportunities;4;19525;4;50;0.02;3.004;0.062
BradDorfman;solid;4;19525;4;50;0.02;3.781;0.077
BradDorfman;majority;3;19525;3;50;0.015;2.957;0.045
BradDorfman;markets;8;19525;6;50;0.041;1.563;0.064
BradDorfman;fast;3;19525;3;50;0.015;2.82;0.043
BradDorfman;growing;4;19525;3;50;0.02;2.059;0.042
BradDorfman;developing;3;19525;2;50;0.015;3.189;0.049
BradDorfman;infrastructure;3;19525;3;50;0.015;3.347;0.051
BradDorfman;needs;8;19525;6;50;0.041;2.582;0.106
BradDorfman;demand;16;19525;9;50;0.082;2.127;0.174
BradDorfman;peoria;5;19525;5;50;0.026;6.215;0.159
BradDorfman;ill;10;19525;10;50;0.051;3.605;0.185
BradDorfman;surprised;4;19525;4;50;0.02;3.697;0.076
BradDorfman;areas;11;19525;8;50;0.056;2.491;0.14
BradDorfman;clear;4;19525;4;50;0.02;2.352;0.048
BradDorfman;makes;15;19525;10;50;0.077;2.755;0.212
BradDorfman;stay;4;19525;4;50;0.02;3.189;0.065
BradDorfman;course;5;19525;3;50;0.026;3.27;0.084
BradDorfman;away;4;19525;4;50;0.02;2.62;0.054
BradDorfman;troubled;5;19525;3;50;0.026;3.65;0.093
BradDorfman;past;10;19525;8;50;0.051;1.963;0.101
BradDorfman;airlines;4;19525;2;50;0.02;3.358;0.069
BradDorfman;executive;36;19525;19;50;0.184;1.287;0.237
BradDorfman;carrier;4;19525;2;50;0.02;3.281;0.067
BradDorfman;quickly;8;19525;4;50;0.041;2.964;0.121
BradDorfman;airline;11;19525;2;50;0.056;3.324;0.187
BradDorfman;job;13;19525;8;50;0.067;2.706;0.18
BradDorfman;trouble;3;19525;3;50;0.015;4.298;0.066
BradDorfman;industry;23;19525;14;50;0.118;1.038;0.122
BradDorfman;louis;24;19525;12;50;0.123;3.781;0.465
BradDorfman;thursday;31;19525;16;50;0.159;1.498;0.238
BradDorfman;jeffrey;4;19525;2;50;0.02;4.423;0.091
BradDorfman;erickson;21;19525;2;50;0.108;7.131;0.767
BradDorfman;years;22;19525;14;50;0.113;0.904;0.102
BradDorfman;leave;4;19525;2;50;0.02;3.088;0.063
BradDorfman;january;4;19525;3;50;0.02;2.291;0.047
BradDorfman;management;6;19525;4;50;0.031;1.946;0.06
BradDorfman;declined;7;19525;6;50;0.036;1.83;0.066
BradDorfman;identified;3;19525;3;50;0.015;3.028;0.047
BradDorfman;doesn;10;19525;9;50;0.051;3.324;0.17
BradDorfman;deal;51;19525;18;50;0.261;1.563;0.408
BradDorfman;comes;4;19525;4;50;0.02;2.861;0.059
BradDorfman;just;20;19525;16;50;0.102;1.437;0.147
BradDorfman;robert;7;19525;6;50;0.036;2.949;0.106
BradDorfman;peiser;4;19525;2;50;0.02;7.131;0.146
BradDorfman;left;3;19525;3;50;0.015;2.556;0.039
BradDorfman;time;26;19525;20;50;0.133;1.134;0.151
BradDorfman;twa;16;19525;2;50;0.082;7.131;0.584
BradDorfman;decision;11;19525;6;50;0.056;2.046;0.115
BradDorfman;direction;3;19525;3;50;0.015;3.73;0.057
BradDorfman;going;26;19525;19;50;0.133;1.447;0.193
BradDorfman;regain;3;19525;3;50;0.015;4.241;0.065
BradDorfman;confidence;7;19525;4;50;0.036;3.088;0.111
BradDorfman;william;4;19525;4;50;0.02;3.619;0.074
BradDorfman;fiala;4;19525;2;50;0.02;7.131;0.146
BradDorfman;way;10;19525;8;50;0.051;1.724;0.088
BradDorfman;coming;9;19525;7;50;0.046;2.496;0.115
BradDorfman;leader;4;19525;4;50;0.02;2.154;0.044
BradDorfman;proven;3;19525;3;50;0.015;4.991;0.077
BradDorfman;turnaround;8;19525;2;50;0.041;3.873;0.159
BradDorfman;manager;11;19525;5;50;0.056;2.556;0.144
BradDorfman;august;7;19525;7;50;0.036;2.352;0.084
BradDorfman;brought;5;19525;4;50;0.026;3.115;0.08
BradDorfman;bankruptcy;6;19525;5;50;0.031;4.358;0.134
BradDorfman;reorganization;5;19525;4;50;0.026;5.339;0.137
BradDorfman;buying;6;19525;5;50;0.031;2.348;0.072
BradDorfman;aircraft;9;19525;4;50;0.046;3.133;0.144
BradDorfman;finished;3;19525;3;50;0.015;4.063;0.062
BradDorfman;fuel;3;19525;3;50;0.015;3.405;0.052
BradDorfman;july;4;19525;4;50;0.02;2.147;0.044
BradDorfman;crash;8;19525;2;50;0.041;4.528;0.186
BradDorfman;flight;5;19525;2;50;0.026;4.213;0.108
BradDorfman;hurt;3;19525;3;50;0.015;3.347;0.051
BradDorfman;half;8;19525;6;50;0.041;1.682;0.069
BradDorfman;yield;3;19525;3;50;0.015;3.932;0.06
BradDorfman;measure;5;19525;4;50;0.026;3.65;0.093
BradDorfman;know;8;19525;7;50;0.041;2.541;0.104
BradDorfman;council;3;19525;3;50;0.015;2.988;0.046
BradDorfman;think;54;19525;32;50;0.277;1.341;0.371
BradDorfman;probably;14;19525;13;50;0.072;2.412;0.173
BradDorfman;seats;4;19525;2;50;0.02;3.799;0.078
BradDorfman;board;22;19525;13;50;0.113;2.233;0.252
BradDorfman;directors;9;19525;6;50;0.046;3.335;0.154
BradDorfman;possible;9;19525;8;50;0.046;2.056;0.095
BradDorfman;expect;16;19525;12;50;0.082;1.949;0.16
BradDorfman;replace;5;19525;4;50;0.026;3.161;0.081
BradDorfman;jeff;4;19525;3;50;0.02;4.88;0.1
BradDorfman;employees;8;19525;5;50;0.041;2.949;0.121
BradDorfman;concerned;4;19525;3;50;0.02;3.097;0.063
BradDorfman;experts;4;19525;4;50;0.02;3.004;0.062
BradDorfman;seeing;4;19525;4;50;0.02;3.619;0.074
BradDorfman;defended;3;19525;3;50;0.015;4.16;0.064
BradDorfman;difference;4;19525;4;50;0.02;4.186;0.086
BradDorfman;boyd;6;19525;2;50;0.031;7.131;0.219
BradDorfman;president;24;19525;16;50;0.123;1.355;0.167
BradDorfman;systems;5;19525;5;50;0.026;2.417;0.062
BradDorfman;research;15;19525;10;50;0.077;2.311;0.178
BradDorfman;firm;8;19525;6;50;0.041;1.774;0.073
BradDorfman;calls;6;19525;4;50;0.031;2.847;0.087
BradDorfman;offices;7;19525;5;50;0.036;3.781;0.136
BradDorfman;friday;29;19525;16;50;0.149;1.463;0.217
BradDorfman;public;7;19525;7;50;0.036;1.986;0.071
BradDorfman;relations;3;19525;3;50;0.015;2.996;0.046
BradDorfman;office;7;19525;7;50;0.036;2.311;0.083
BradDorfman;comment;23;19525;16;50;0.118;2.071;0.244
BradDorfman;did;18;19525;15;50;0.092;1.572;0.145
BradDorfman;return;14;19525;9;50;0.072;2.299;0.165
BradDorfman;need;12;19525;7;50;0.061;2.049;0.126
BradDorfman;good;17;19525;10;50;0.087;1.586;0.138
BradDorfman;hands;5;19525;5;50;0.026;3.079;0.079
BradDorfman;situation;3;19525;3;50;0.015;2.761;0.042
BradDorfman;free;7;19525;5;50;0.036;2.521;0.09
BradDorfman;moves;3;19525;3;50;0.015;3.199;0.049
BradDorfman;interested;6;19525;5;50;0.031;3.189;0.098
BradDorfman;suggested;3;19525;3;50;0.015;3.18;0.049
BradDorfman;air;6;19525;4;50;0.031;2.774;0.085
BradDorfman;group;18;19525;14;50;0.092;0.972;0.09
BradDorfman;candidate;7;19525;7;50;0.036;3.65;0.131
BradDorfman;families;3;19525;3;50;0.015;4.186;0.064
BradDorfman;told;7;19525;7;50;0.036;0.924;0.033
BradDorfman;university;4;19525;2;50;0.02;3.291;0.067
BradDorfman;greenbaum;4;19525;2;50;0.02;7.131;0.146
BradDorfman;dean;6;19525;4;50;0.031;4.213;0.129
BradDorfman;lot;8;19525;8;50;0.041;2.165;0.089
BradDorfman;difficult;3;19525;3;50;0.015;2.496;0.038
BradDorfman;died;4;19525;4;50;0.02;3.995;0.082
BradDorfman;monday;19;19525;13;50;0.097;1.435;0.14
BradDorfman;make;21;19525;20;50;0.108;1.317;0.142
BradDorfman;acquisitions;24;19525;11;50;0.123;2.964;0.364
BradDorfman;completing;4;19525;4;50;0.02;4.605;0.094
BradDorfman;merger;15;19525;10;50;0.077;2.275;0.175
BradDorfman;mark;22;19525;4;50;0.113;2.861;0.322
BradDorfman;twain;22;19525;4;50;0.113;6.438;0.725
BradDorfman;active;5;19525;4;50;0.026;2.882;0.074
BradDorfman;beginning;3;19525;3;50;0.015;3.088;0.047
BradDorfman;today;10;19525;7;50;0.051;2.582;0.132
BradDorfman;mean;8;19525;8;50;0.041;2.807;0.115
BradDorfman;additional;6;19525;5;50;0.031;3.115;0.096
BradDorfman;capacity;4;19525;3;50;0.02;2.659;0.054
BradDorfman;john;12;19525;10;50;0.061;2.233;0.137
BradDorfman;beirise;7;19525;2;50;0.036;7.131;0.256
BradDorfman;mergers;12;19525;5;50;0.061;3.405;0.209
BradDorfman;noted;15;19525;10;50;0.077;2.631;0.202
BradDorfman;acquisition;35;19525;17;50;0.179;2.39;0.428
BradDorfman;geographic;3;19525;2;50;0.015;5.339;0.082
BradDorfman;locations;3;19525;2;50;0.015;4.78;0.073
BradDorfman;assets;24;19525;15;50;0.123;2.303;0.283
BradDorfman;currently;8;19525;6;50;0.041;2.134;0.087
BradDorfman;pending;3;19525;3;50;0.015;4.213;0.065
BradDorfman;close;11;19525;11;50;0.056;1.749;0.099
BradDorfman;closing;5;19525;5;50;0.026;3.455;0.088
BradDorfman;times;6;19525;5;50;0.031;2.421;0.074
BradDorfman;book;5;19525;3;50;0.026;3.854;0.099
BradDorfman;value;13;19525;9;50;0.067;1.913;0.127
BradDorfman;general;11;19525;6;50;0.056;1.737;0.098
BradDorfman;earn;5;19525;5;50;0.026;3.781;0.097
BradDorfman;considering;3;19525;3;50;0.015;3.062;0.047
BradDorfman;potential;14;19525;9;50;0.072;2.117;0.152
BradDorfman;takeover;17;19525;9;50;0.087;2.477;0.216
BradDorfman;target;14;19525;8;50;0.072;2.598;0.186
BradDorfman;acquire;9;19525;9;50;0.046;3.347;0.154
BradDorfman;holding;15;19525;12;50;0.077;2.787;0.214
BradDorfman;missouri;21;19525;7;50;0.108;5.259;0.566
BradDorfman;mentioned;4;19525;4;50;0.02;4.566;0.094
BradDorfman;trying;6;19525;6;50;0.031;2.551;0.078
BradDorfman;expand;9;19525;6;50;0.046;2.82;0.13
BradDorfman;presence;7;19525;6;50;0.036;3.281;0.118
BradDorfman;agreed;7;19525;7;50;0.036;1.978;0.071
BradDorfman;acquired;3;19525;3;50;0.015;3.281;0.05
BradDorfman;nationsbank;7;19525;3;50;0.036;6.215;0.223
BradDorfman;long;9;19525;8;50;0.046;1.267;0.058
BradDorfman;shareholders;19;19525;13;50;0.097;2.068;0.201
BradDorfman;case;6;19525;5;50;0.031;2.43;0.075
BradDorfman;doing;6;19525;4;50;0.031;2.807;0.086
BradDorfman;best;4;19525;4;50;0.02;2.386;0.049
BradDorfman;likely;20;19525;14;50;0.102;1.613;0.165
BradDorfman;planned;8;19525;8;50;0.041;2.081;0.085
BradDorfman;combination;5;19525;5;50;0.026;3.467;0.089
BradDorfman;attractive;18;19525;9;50;0.092;3.219;0.297
BradDorfman;buy;14;19525;13;50;0.072;1.85;0.133
BradDorfman;worth;9;19525;6;50;0.046;2.267;0.105
BradDorfman;companies;17;19525;11;50;0.087;1.098;0.096
BradDorfman;combined;6;19525;5;50;0.031;2.847;0.087
BradDorfman;total;8;19525;7;50;0.041;1.704;0.07
BradDorfman;pretty;7;19525;6;50;0.036;3.02;0.108
BradDorfman;profitable;4;19525;2;50;0.02;2.813;0.058
BradDorfman;common;4;19525;3;50;0.02;3.028;0.062
BradDorfman;equity;25;19525;9;50;0.128;2.8;0.359
BradDorfman;market;47;19525;26;50;0.241;0.662;0.159
BradDorfman;joseph;11;19525;9;50;0.056;4.135;0.233
BradDorfman;stifel;4;19525;4;50;0.02;6.438;0.132
BradDorfman;nicolaus;4;19525;4;50;0.02;6.438;0.132
BradDorfman;paying;5;19525;3;50;0.026;3.335;0.085
BradDorfman;operates;7;19525;6;50;0.036;3.747;0.134
BradDorfman;questioned;3;19525;3;50;0.015;4.39;0.067
BradDorfman;question;6;19525;4;50;0.031;2.718;0.084
BradDorfman;premium;10;19525;5;50;0.051;3.405;0.174
BradDorfman;appeared;10;19525;9;50;0.051;3.219;0.165
BradDorfman;dubinsky;3;19525;1;50;0.015;7.824;0.12
BradDorfman;completed;9;19525;6;50;0.046;2.882;0.133
BradDorfman;indicated;3;19525;3;50;0.015;3.681;0.057
BradDorfman;cuts;7;19525;5;50;0.036;3.124;0.112
BradDorfman;consolidation;4;19525;3;50;0.02;3.393;0.07
BradDorfman;jobs;6;19525;5;50;0.031;2.941;0.09
BradDorfman;eliminated;4;19525;4;50;0.02;4.646;0.095
BradDorfman;able;3;19525;3;50;0.015;2.168;0.033
BradDorfman;noting;12;19525;9;50;0.061;3.52;0.216
BradDorfman;number;7;19525;7;50;0.036;1.818;0.065
BradDorfman;needed;4;19525;4;50;0.02;2.43;0.05
BradDorfman;rule;3;19525;3;50;0.015;2.546;0.039
BradDorfman;changing;3;19525;3;50;0.015;3.534;0.054
BradDorfman;future;7;19525;7;50;0.036;1.659;0.059
BradDorfman;internet;14;19525;1;50;0.072;2.421;0.174
BradDorfman;atlanta;7;19525;1;50;0.036;4.39;0.157
BradDorfman;security;27;19525;2;50;0.138;2.82;0.39
BradDorfman;network;9;19525;6;50;0.046;2.295;0.106
BradDorfman;somewhat;3;19525;3;50;0.015;4.269;0.066
BradDorfman;customers;22;19525;10;50;0.113;2.01;0.226
BradDorfman;mahan;12;19525;1;50;0.061;7.824;0.481
BradDorfman;real;9;19525;3;50;0.046;2.43;0.112
BradDorfman;consumer;14;19525;10;50;0.072;2.248;0.161
BradDorfman;software;11;19525;2;50;0.056;2.688;0.151
BradDorfman;opened;7;19525;3;50;0.036;3.053;0.109
BradDorfman;plans;13;19525;11;50;0.067;1.478;0.098
BradDorfman;add;4;19525;4;50;0.02;3.124;0.064
BradDorfman;small;3;19525;3;50;0.015;2.11;0.032
BradDorfman;california;3;19525;3;50;0.015;3.442;0.053
BradDorfman;discount;4;19525;4;50;0.02;3.912;0.08
BradDorfman;brokerage;4;19525;3;50;0.02;3.106;0.064
BradDorfman;having;8;19525;6;50;0.041;2.631;0.108
BradDorfman;sense;5;19525;4;50;0.026;3.43;0.088
BradDorfman;use;8;19525;4;50;0.041;1.805;0.074
BradDorfman;directly;3;19525;3;50;0.015;3.358;0.052
BradDorfman;consumers;8;19525;5;50;0.041;2.648;0.108
BradDorfman;home;11;19525;9;50;0.056;2.165;0.122
BradDorfman;reach;5;19525;5;50;0.026;2.665;0.068
BradDorfman;account;5;19525;2;50;0.026;2.774;0.071
BradDorfman;access;3;19525;2;50;0.015;2.491;0.038
BradDorfman;single;4;19525;4;50;0.02;2.949;0.06
BradDorfman;finance;35;19525;8;50;0.179;2.218;0.398
BradDorfman;computer;7;19525;6;50;0.036;2.252;0.081
BradDorfman;information;9;19525;5;50;0.046;2.335;0.108
BradDorfman;money;8;19525;5;50;0.041;1.932;0.079
BradDorfman;open;11;19525;9;50;0.056;2.01;0.113
BradDorfman;little;5;19525;5;50;0.026;1.995;0.051
BradDorfman;start;13;19525;6;50;0.067;2.11;0.141
BradDorfman;sure;3;19525;3;50;0.015;3.249;0.05
BradDorfman;pay;7;19525;6;50;0.036;1.941;0.07
BradDorfman;purchase;3;19525;3;50;0.015;3.028;0.047
BradDorfman;deposits;3;19525;3;50;0.015;3.817;0.059
BradDorfman;offer;9;19525;8;50;0.046;1.894;0.087
BradDorfman;products;10;19525;8;50;0.051;1.774;0.091
BradDorfman;mortgage;6;19525;2;50;0.031;4.241;0.13
BradDorfman;end;12;19525;9;50;0.061;1.191;0.073
BradDorfman;funds;3;19525;3;50;0.015;2.516;0.039
BradDorfman;using;5;19525;3;50;0.026;2.417;0.062
BradDorfman;limited;7;19525;3;50;0.036;2.972;0.107
BradDorfman;offering;7;19525;7;50;0.036;2.736;0.098
BradDorfman;percentage;3;19525;3;50;0.015;3.507;0.054
BradDorfman;starting;3;19525;3;50;0.015;3.239;0.05
BradDorfman;used;4;19525;3;50;0.02;1.998;0.041
BradDorfman;thrifts;5;19525;2;50;0.026;6.725;0.172
BradDorfman;changed;3;19525;3;50;0.015;3.18;0.049
BradDorfman;military;9;19525;4;50;0.046;3.161;0.146
BradDorfman;grade;4;19525;2;50;0.02;4.733;0.097
BradDorfman;far;10;19525;9;50;0.051;1.73;0.089
BradDorfman;haven;4;19525;4;50;0.02;3.892;0.08
BradDorfman;secure;3;19525;1;50;0.015;3.634;0.056
BradDorfman;level;7;19525;6;50;0.036;1.966;0.07
BradDorfman;pentagon;3;19525;3;50;0.015;5.051;0.078
BradDorfman;paul;5;19525;5;50;0.026;3.43;0.088
BradDorfman;vice;14;19525;11;50;0.072;2.154;0.154
BradDorfman;services;16;19525;12;50;0.082;1.765;0.145
BradDorfman;corporate;13;19525;5;50;0.067;2.39;0.159
BradDorfman;fourth;29;19525;17;50;0.149;2.491;0.37
BradDorfman;country;6;19525;5;50;0.031;1.9;0.058
BradDorfman;prime;3;19525;2;50;0.015;2.665;0.041
BradDorfman;unit;20;19525;9;50;0.102;2.016;0.206
BradDorfman;contributor;3;19525;3;50;0.015;5.878;0.09
BradDorfman;net;11;19525;11;50;0.056;2.046;0.115
BradDorfman;income;12;19525;10;50;0.061;2.604;0.16
BradDorfman;traded;5;19525;5;50;0.026;3.219;0.082
BradDorfman;nasdaq;6;19525;5;50;0.031;3.302;0.101
BradDorfman;marketing;6;19525;5;50;0.031;2.256;0.069
BradDorfman;competition;4;19525;4;50;0.02;2.151;0.044
BradDorfman;unlike;3;19525;3;50;0.015;4.16;0.064
BradDorfman;does;13;19525;11;50;0.067;2.107;0.14
BradDorfman;customer;10;19525;6;50;0.051;2.972;0.152
BradDorfman;offers;5;19525;3;50;0.026;3.004;0.077
BradDorfman;saying;9;19525;9;50;0.046;1.763;0.081
BradDorfman;selling;6;19525;5;50;0.031;2.426;0.075
BradDorfman;service;8;19525;7;50;0.041;1.908;0.078
BradDorfman;reached;5;19525;5;50;0.026;2.631;0.067
BradDorfman;prepared;3;19525;3;50;0.015;3.37;0.052
BradDorfman;impose;3;19525;2;50;0.015;4.16;0.064
BradDorfman;employment;3;19525;2;50;0.015;3.953;0.061
BradDorfman;terms;7;19525;4;50;0.036;2.182;0.078
BradDorfman;oct;3;19525;3;50;0.015;3.493;0.054
BradDorfman;auto;10;19525;7;50;0.051;3.189;0.163
BradDorfman;workers;4;19525;2;50;0.02;2.861;0.059
BradDorfman;impasse;6;19525;1;50;0.031;5.426;0.167
BradDorfman;talks;6;19525;5;50;0.031;2.134;0.066
BradDorfman;strike;8;19525;3;50;0.041;3.17;0.13
BradDorfman;ended;8;19525;7;50;0.041;2.196;0.09
BradDorfman;december;21;19525;13;50;0.108;2.053;0.221
BradDorfman;contract;5;19525;3;50;0.026;2.781;0.071
BradDorfman;uaw;4;19525;1;50;0.02;3.912;0.08
BradDorfman;include;8;19525;5;50;0.041;2.352;0.096
BradDorfman;period;10;19525;7;50;0.051;2.211;0.113
BradDorfman;taking;5;19525;4;50;0.026;2.168;0.056
BradDorfman;provide;4;19525;4;50;0.02;2.348;0.048
BradDorfman;giving;3;19525;3;50;0.015;2.988;0.046
BradDorfman;competitive;3;19525;3;50;0.015;2.356;0.036
BradDorfman;wayne;3;19525;2;50;0.015;4.241;0.065
BradDorfman;zimmerman;3;19525;2;50;0.015;7.131;0.11
BradDorfman;effect;3;19525;2;50;0.015;2.712;0.042
BradDorfman;bargaining;3;19525;1;50;0.015;3.995;0.061
BradDorfman;process;6;19525;6;50;0.031;2.496;0.077
BradDorfman;legal;3;19525;3;50;0.015;2.604;0.04
BradDorfman;action;4;19525;3;50;0.02;2.62;0.054
BradDorfman;appears;3;19525;3;50;0.015;3.576;0.055
BradDorfman;financing;4;19525;4;50;0.02;3.713;0.076
BradDorfman;detroit;5;19525;3;50;0.026;3.634;0.093
BradDorfman;stadium;3;19525;1;50;0.015;5.745;0.088
BradDorfman;complex;7;19525;3;50;0.036;3.681;0.132
BradDorfman;land;3;19525;2;50;0.015;3.493;0.054
BradDorfman;nearly;3;19525;3;50;0.015;2.248;0.035
BradDorfman;complete;4;19525;3;50;0.02;3.045;0.062
BradDorfman;dennis;3;19525;3;50;0.015;4.733;0.073
BradDorfman;archer;4;19525;1;50;0.02;4.934;0.101
BradDorfman;believe;7;19525;7;50;0.036;2.435;0.087
BradDorfman;making;8;19525;8;50;0.041;2.037;0.083
BradDorfman;happen;4;19525;4;50;0.02;3.358;0.069
BradDorfman;news;14;19525;10;50;0.072;1.454;0.104
BradDorfman;conference;9;19525;5;50;0.046;2.144;0.099
BradDorfman;property;5;19525;3;50;0.026;3.088;0.079
BradDorfman;michigan;7;19525;4;50;0.036;4.457;0.16
BradDorfman;baseball;6;19525;2;50;0.031;5.116;0.157
BradDorfman;ford;13;19525;4;50;0.067;3.291;0.219
BradDorfman;tax;15;19525;5;50;0.077;2.168;0.167
BradDorfman;cars;17;19525;5;50;0.087;3.467;0.302
BradDorfman;geared;3;19525;3;50;0.015;4.646;0.071
BradDorfman;accounting;11;19525;7;50;0.056;3.26;0.184
BradDorfman;owner;4;19525;2;50;0.02;3.912;0.08
BradDorfman;major;15;19525;12;50;0.077;1.282;0.098
BradDorfman;officials;4;19525;3;50;0.02;1.592;0.033
BradDorfman;big;10;19525;10;50;0.051;1.574;0.081
BradDorfman;june;7;19525;7;50;0.036;1.83;0.066
BradDorfman;west;3;19525;2;50;0.015;3.133;0.048
BradDorfman;issue;8;19525;7;50;0.041;1.913;0.078
BradDorfman;meeting;4;19525;3;50;0.02;1.978;0.041
BradDorfman;olympic;10;19525;1;50;0.051;5.185;0.266
BradDorfman;october;6;19525;5;50;0.031;2.117;0.065
BradDorfman;kantor;10;19525;1;50;0.051;7.131;0.365
BradDorfman;committee;6;19525;6;50;0.031;2.665;0.082
BradDorfman;investment;14;19525;6;50;0.072;1.688;0.121
BradDorfman;minneapolis;3;19525;3;50;0.015;5.051;0.078
BradDorfman;buyer;3;19525;3;50;0.015;3.713;0.057
BradDorfman;expressed;4;19525;4;50;0.02;3.26;0.067
BradDorfman;announcement;5;19525;4;50;0.026;2.827;0.072
BradDorfman;want;5;19525;5;50;0.026;1.983;0.051
BradDorfman;suitors;3;19525;3;50;0.015;5.627;0.086
BradDorfman;came;7;19525;7;50;0.036;2.211;0.079
BradDorfman;capital;14;19525;6;50;0.072;1.876;0.135
BradDorfman;consider;5;19525;4;50;0.026;2.827;0.072
BradDorfman;order;3;19525;3;50;0.015;2.572;0.04
BradDorfman;event;3;19525;3;50;0.015;3.873;0.06
BradDorfman;come;11;19525;10;50;0.056;1.84;0.104
BradDorfman;work;4;19525;4;50;0.02;1.911;0.039
BradDorfman;category;3;19525;3;50;0.015;4.04;0.062
BradDorfman;adding;9;19525;8;50;0.046;1.892;0.087
BradDorfman;wants;3;19525;3;50;0.015;2.373;0.036
BradDorfman;sale;11;19525;9;50;0.056;2.356;0.133
BradDorfman;newly;3;19525;3;50;0.015;3.493;0.054
BradDorfman;meredith;5;19525;1;50;0.026;7.824;0.2
BradDorfman;television;4;19525;3;50;0.02;2.482;0.051
BradDorfman;lead;5;19525;5;50;0.026;2.671;0.068
BradDorfman;kerr;9;19525;1;50;0.046;7.824;0.361
BradDorfman;operating;12;19525;5;50;0.061;1.975;0.121
BradDorfman;calendar;10;19525;5;50;0.051;3.974;0.204
BradDorfman;owns;10;19525;6;50;0.051;2.868;0.147
BradDorfman;larger;5;19525;4;50;0.026;3.199;0.082
BradDorfman;unlikely;3;19525;2;50;0.015;2.82;0.043
BradDorfman;available;6;19525;6;50;0.031;2.36;0.073
BradDorfman;iowa;12;19525;4;50;0.061;5.185;0.319
BradDorfman;including;13;19525;11;50;0.067;1.527;0.102
BradDorfman;seek;5;19525;3;50;0.026;3.045;0.078
BradDorfman;publishing;3;19525;1;50;0.015;4.04;0.062
BradDorfman;instead;4;19525;4;50;0.02;2.665;0.055
BradDorfman;launch;4;19525;2;50;0.02;2.588;0.053
BradDorfman;family;4;19525;2;50;0.02;2.8;0.057
BradDorfman;magazine;3;19525;1;50;0.015;4.135;0.064
BradDorfman;launched;4;19525;3;50;0.02;2.671;0.055
BradDorfman;early;15;19525;11;50;0.077;1.464;0.113
BradDorfman;fiscal;6;19525;5;50;0.031;2.875;0.088
BradDorfman;later;6;19525;6;50;0.031;2.256;0.069
BradDorfman;say;8;19525;7;50;0.041;1.446;0.059
BradDorfman;focus;5;19525;5;50;0.026;2.541;0.065
BradDorfman;rest;6;19525;6;50;0.031;2.787;0.086
BradDorfman;agreements;6;19525;5;50;0.031;3.48;0.107
BradDorfman;wal;7;19525;5;50;0.036;5.745;0.206
BradDorfman;mart;7;19525;5;50;0.036;5.627;0.202
BradDorfman;stores;34;19525;12;50;0.174;3.26;0.568
BradDorfman;mcdonnell;21;19525;2;50;0.108;4.16;0.447
BradDorfman;defence;10;19525;3;50;0.051;3.106;0.159
BradDorfman;department;14;19525;9;50;0.072;2.556;0.183
BradDorfman;build;5;19525;3;50;0.026;2.598;0.067
BradDorfman;generation;8;19525;5;50;0.041;3.302;0.135
